"","BothControl1","BothControl2","BothControl3","AdultIUGR1","AdultIUGR2","AdultIUGR3","AdultLact1","AdultLact2","AdultLact3","OffIUGR1","OffIUGR2","OffIUGR3","OffLact1","OffLact2","OffLact3"
"1448414_at",5.9228324065039,5.88077152159057,6.23847564250445,5.64127525536294,5.62842636535072,5.68465369771139,6.28633656942056,5.81270917093125,5.2618842328648,5.88508485736392,5.75446774034511,5.73403110390775,5.55427710195462,5.20324855025279,5.48821933876432
"1455938_x_at",5.82859995354921,6.29862085190691,6.41483470619016,5.68931744757055,5.88155463029508,5.88344050895572,6.35590664978584,5.92347050043212,5.78034893490843,6.79329931577962,6.63641239704636,6.44102625712029,6.59966403264538,6.73375160687057,6.83458934186302
"1422964_at",6.78277849170762,6.23869631053599,6.60221237188321,6.27264759176647,6.53145384697201,6.36542136396581,6.11205670043574,5.43513992052199,6.60114231434643,6.47198876400269,6.5158145610024,6.31283988593521,5.86001339664729,6.07156959981537,5.90472503730345
"1456822_at",5.16159999425603,5.22477064775226,5.20496059562019,5.01113240881815,4.52579605717836,4.74786557380005,4.68120296310007,4.09497751942058,4.9528781905817,5.50985470611321,5.24347747872942,4.70537868163265,4.63969340989866,4.74786557380005,4.62082548394833
"1421430_at",5.18814465267338,5.53716184069043,5.3798948505819,5.14037141107293,4.99145320145375,5.21871540705128,5.93520939346712,6.30721029117341,5.6104534971209,4.35325356018935,4.69067230304959,5.42490833467152,5.72955238409846,4.84051136094489,4.96620073239516
"1443891_at",5.41807467170989,5.3890968050645,4.88338648498765,5.41137246405956,5.01285578350577,5.39790575274139,5.0409074486804,5.28558147096013,5.28558147096013,5.53384199929004,5.35881876013847,5.28558147096013,5.27548395631628,5.38987950990335,5.23976736914043
"1418404_at",6.42895517394061,6.20214109248641,5.95649053363377,6.16028628027708,5.90434827491157,5.75819676643399,6.21346305844823,6.24302212870623,5.91144714568904,5.99936867215906,5.81830963448815,6.09848651012121,5.84132695453257,6.13111693774253,6.07299896605599
"1459877_x_at",9.18271020706882,9.33967521640049,9.27656180880787,9.07874147522108,8.93440478356491,8.84994090688669,8.77274823717471,9.23836101032281,9.06542378535278,9.42007411547027,9.2258978041757,9.59833377589014,9.17904082360494,9.14377775149746,9.37553285072442
"1452388_at",6.32662835896891,5.25672137564588,6.85866076570198,5.84420401945954,6.92670750364284,5.94560399172203,5.1403847418276,4.65058223695586,6.2720065810098,6.1422679758821,7.58083487523911,5.86957276549865,6.13862706683511,6.63862827434692,6.09352060944729
"1416591_at",6.74975943591701,6.63431475800268,6.55639522059829,6.47667348797244,6.68317468818376,6.51985172660673,6.59429480262196,5.99244079465999,6.31648222926639,6.02274368817887,6.36223603082089,5.92257973036315,6.3583077860433,6.24615995647105,6.32463263073411
